Year,World Population,"Yearly
Change","Net
Change","Density
(P/KmÂ²)","Urban
Pop","Urban
Pop  %"
2018,7632819325,1.09,82557224,76,4186975665,55
2017,7550262101,1.12,83297821,76,4110778369,54
2016,7466964280,1.14,83955460,75,4034193153,54
2015,7383008820,1.16,84555787,74,3957285013,54
2014,7298453033,1.18,85026581,73,3880128255,53
2013,7213426452,1.2,85249517,72,3802824481,53
2012,7128176935,1.21,85168349,71,3725502442,52
2011,7043008586,1.22,84839427,70,3648252270,52
2010,6958169159,1.23,84428105,70,3571272167,51
2009,6873741054,1.24,83969801,69,3494944744,51
2008,6789771253,1.24,83352660,68,3419420251,50
2007,6706418593,1.25,82570680,67,3344752515,50
2006,6623847913,1.25,81688530,66,3271397980,49
2005,6542159383,1.25,80788518,65,3199013076,49
2004,6461370865,1.25,79961878,65,3127242628,48
2003,6381408987,1.26,79259348,64,3056838839,48
2002,6302149639,1.27,78737481,63,2987784981,47
2001,6223412158,1.28,78405169,62,2919962139,47
2000,6145006989,1.29,78139598,61,2856131072,46
1999,6066867391,1.3,78021288,61,2796899752,46
1998,5988846103,1.32,78279808,60,2738816645,46
1997,5910566295,1.35,79001275,59,2681474069,45
1996,5831565020,1.39,80090604,58,2624604780,45
1995,5751474416,1.43,81154713,58,2568062984,45
1994,5670319703,1.47,82224866,57,2511550590,44
1993,5588094837,1.52,83693688,56,2455122105,44
1992,5504401149,1.58,85642346,55,2398603088,44
1991,5418758803,1.65,87815343,54,2342005025,43
1990,5330943460,1.72,90208343,53,2285030904,43
1989,5240735117,1.79,92178161,52,2228072592,43
1988,5148556956,1.84,92920824,51,2171095781,42
1987,5055636132,1.85,92002904,51,2113397101,42
1986,4963633228,1.84,89851432,50,2057664889,41
1985,4873781796,1.82,87297934,49,2003049795,41
1984,4786483862,1.81,84953019,48,1950270079,41
1983,4701530843,1.79,82754675,47,1899031963,40
1982,4618776168,1.78,80930391,46,1849348541,40
1981,4537845777,1.78,79434243,45,1799434641,40
1980,4458411534,1.78,77825779,45,1749539272,39
1979,4380585755,1.77,76208643,44,1701580342,39
1978,4304377112,1.78,75175855,43,1655041860,38
1977,4229201257,1.8,74913663,42,1612295726,38
1976,4154287594,1.84,75200396,42,1573369827,38
1975,4079087198,1.89,75639047,41,1534721238,38
1974,4003448151,1.93,75909456,40,1497305961,37
1973,3927538695,1.97,75993514,39,1458374024,37
1972,3851545181,2.01,75754281,39,1420942101,37
1971,3775790900,2.03,75213250,38,1385012179,37
1970,3700577650,2.06,74672136,37,1350280789,36
1969,3625905514,2.08,74024814,36,1315767607,36
1968,3551880700,2.09,72826879,36,1281733884,36
1967,3479053821,2.08,70932416,35,1248237530,36
1966,3408121405,2.05,68528717,34,1215547996,36
1965,3339592688,2.01,65921916,33,1183910279,35
1964,3273670772,1.97,63399420,33,1153189281,35
1963,3210271352,1.94,61027107,32,1118019327,35
1962,3149244245,1.91,58938966,31,1083929179,34
1961,3090305279,1.88,57092752,31,1051050417,34
1960,3033212527,1.86,55387841,30,1019494911,34
1959,2977824686,1.84,53743443,30,988354428,33
1958,2924081243,1.82,52128965,29,957944323,33
1957,2871952278,1.79,50568834,29,928399446,32
1956,2821383444,1.77,49140909,28,899872076,32
1955,2772242535,1.76,47940067,28,872133969,31
1954,2724302468,1.76,47072110,27,845285369,31
1953,2677230358,1.77,46645974,27,819422184,31
1952,2630584384,1.81,46767598,26,794486369,30
1951,2583816786,1.87,47542065,26,770386513,30
1927,2000000000,,,,,
1900,1600000000,,,,,
1850,1200000000,,,,,
1804,1000000000,,,,,
1760,770000000,,,,,
1700,610000000,,,,,
1600,500000000,,,,,
1500,450000000,,,,,
1400,350000000,,,,,
1200,360000000,,,,,
1100,320000000,,,,,
1000,275000000,,,,,
900,240000000,,,,,
800,220000000,,,,,
700,210000000,,,,,
600,200000000,,,,,
200,190000000,,,,,
-200,150000000,,,,,
-500,100000000,,,,,
-1000,50000000,,,,,
-2000,27000000,,,,,
-3000,14000000,,,,,
-4000,7000000,,,,,
-5000,5000000,,,,,